mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.19460455576578775,0.011483589557622702,0.029325326283772785,0.0018808733998419258,0.8,100,3,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.6998675747785876,0.710393637520471,0.6892928296323144,0.6998513473104576,0.008614376389937324,2
0.1679541269938151,0.0032639003204451254,0.029327233632405598,0.0018845823727021524,1.0,100,3,0.1,0.8,"{'subsample': 1, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.6987274484265837,0.7129885082501507,0.6901999064817331,0.7006386210528225,0.009401047042585006,1
0.22394275665283203,0.003266139013002794,0.029323577880859375,0.001884975956874698,1.0,100,5,0.1,0.8,"{'subsample': 1, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.6838674987235618,0.7023665544907498,0.6864123327773695,0.6908821286638936,0.008186903057924275,5
0.44121885299682617,0.00942487830471679,0.030656099319458008,0.0018858190821000216,0.8,200,5,0.2,0.8,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",0.6605613867515501,0.6604478549496717,0.6469576360014005,0.6559889592342074,0.00638627809547354,10
0.22527599334716797,0.0018868303651891094,0.030655701955159504,0.0018850318485992392,1.0,100,5,0.2,0.8,"{'subsample': 1, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",0.6749216661195552,0.6834034363017795,0.6703215417537808,0.6762155480583719,0.005418461595627572,8
0.297252098719279,0.016108304027711746,0.030661582946777344,0.0018849756553142288,1.0,200,3,0.2,0.8,"{'subsample': 1, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",0.6847583491361882,0.6915491723047767,0.681852198630114,0.6860532400236931,0.004063281220859375,7
0.18128601710001627,0.0018833460652052324,0.026659806569417317,0.0018858753507257188,0.8,100,3,0.2,0.8,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",0.6880368240539677,0.7025487217026618,0.6774795764383188,0.6893550407316494,0.010276795300681743,6
0.167953888575236,2.2813002418529706e-06,0.026662270228068035,0.0018862687990436823,1.0,100,3,0.2,0.8,"{'subsample': 1, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",0.6945591017454069,0.7053845277639582,0.688615773041458,0.696186467516941,0.006941854855469759,3
0.3132499059041341,0.0018881237238774155,0.02799224853515625,1.0115243642614567e-06,0.8,200,3,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.6938086175936526,0.703894386011345,0.6857087084970743,0.6944705707006906,0.007439012170093582,4
0.37323427200317383,0.01319499817997836,0.030659278233846027,0.0018846948346673861,1.0,200,5,0.2,0.8,"{'subsample': 1, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",0.6652443631202469,0.6684084923143584,0.6598373721814479,0.6644967425386844,0.0035388536264048236,9
