mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.733007033665975,0.04567351830375853,0.031558831532796226,0.0024653580787810893,0.7,0.1,6,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",0.9526278112350939,0.9992829649532462,0.999354935013701,0.983755237067347,0.022010433497612225,25
0.7027412255605062,0.05786764795011064,0.08025320370992024,0.03506680251794253,0.7,0.1,6,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.9518480768770174,0.9994802162300483,0.9993309449935494,0.9835530793668718,0.022418905082344537,27
0.9858466784159342,0.11126064480581967,0.0828092098236084,0.030232910339449824,0.7,0.1,6,150,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150, 'subsample': 0.7}",0.9544507396831565,0.9995655140794762,0.999602831888601,0.984539695217078,0.021276109951405494,18
1.024601936340332,0.11533845490460756,0.11561361948649089,0.008897309212248648,0.7,0.1,6,150,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150, 'subsample': 0.8}",0.9529205442705492,0.9996214907931634,0.9996641397178774,0.9840687249271967,0.022025096645978744,22
1.0458019574483235,0.11201044048287948,0.034179131189982094,0.001762847608933937,0.7,0.1,8,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.7}",0.9558026340650773,0.9995788418684494,0.9995575174060924,0.9849796644465396,0.020631277874362832,12
1.1083575089772542,0.1269300100562335,0.031200726826985676,0.0032638969127527927,0.7,0.1,8,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.8}",0.9571784793317171,0.9997067886425913,0.9993869217072364,0.9854240632271815,0.01997307080230575,5
1.4174926280975342,0.17527914644703227,0.037468512852986656,0.003232251432888546,0.7,0.1,8,150,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 150, 'subsample': 0.7}",0.9561698809641029,0.9995468551749138,0.9996534774866989,0.9851234045419052,0.020473279134147947,10
1.4177015622456868,0.16025232573405776,0.039922078450520836,0.002411966103638029,0.7,0.1,8,150,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 150, 'subsample': 0.8}",0.9574046821318417,0.9998320698589387,0.999453560652102,0.9855634375476274,0.01991184651121785,3
0.6351709365844727,0.02039526217561855,0.03079827626546224,0.004881602113110104,0.7,0.2,6,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",0.9515127644909506,0.9991416903901309,0.9989337768821505,0.9831960772544107,0.02240364609845347,31
0.5895198186238607,0.049516612355553276,0.02649037043253581,0.0012869993363706308,0.7,0.2,6,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.9567287349408812,0.9992669716064784,0.9988911279574363,0.9849622781682652,0.01996471949868161,13
